,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12
C,0,8,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C#,0,0,17,0,12,0,4,5,0,1,0,36,4,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,11,0,11,0,1,13,0,30,0,19,35,7,0,0,0,0,0,0,0,0,0,0
D#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,2,0,4,0,7,26,0,2,0,31,5,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F#,0,0,0,0,0,0,0,3,0,8,0,31,15,0,37,0,15,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,8,0,27,0,0,36,0,2,0,5,1,0,0,0,0,0,0
G#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0,0,0,29,0,25,0,30,13,0,4,0,8,6,0,0,0,0
A#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,7,0,27,0,6,0,0,1,0,7,28,9,0
